Professor,Artigo
GILBERTO FARIAS DE SOUSA FILHO,Introdução à Computação. 2014
GILBERTO FARIAS DE SOUSA FILHO,Declawing a graph: polyhedra and Branch-and-Cut algorithms
GILBERTO FARIAS DE SOUSA FILHO,Algoritmos de Planos de Corte para o Problema Livre de Garra
GILBERTO FARIAS DE SOUSA FILHO,Um Avaliador Automático de Eﬁciência de Algoritmos para Ambientes Educacionais de Ensino de Programação
GILBERTO FARIAS DE SOUSA FILHO,Modelagem de Funcionalidades de Sistema Hipermídia Adaptativa para o Interpretador Gráfico de Estrutura de Dados
GILBERTO FARIAS DE SOUSA FILHO,Metaheuristic GRASP for the Bicluster Editing Problem
GILBERTO FARIAS DE SOUSA FILHO,Desenvolvimento de um Interpretador de Comandos e Avaliador Gráfico para o Ensino de Estrutura de Dados (IGED)
GILBERTO FARIAS DE SOUSA FILHO,Uma metaheurística GRASP para configuração de um serviço de distribuição de vídeo baseado em replicação móvel
GILBERTO FARIAS DE SOUSA FILHO,Solving the minimum labeling global cut problem by mathematical programming
GILBERTO FARIAS DE SOUSA FILHO,Classificador de notificações de acidentes ambientais no Sistema Nacional de Emergências Ambientais do IBAMA
GILBERTO FARIAS DE SOUSA FILHO,Identificação de fraudes em licitações: uma abordagem utilizando agrupamento por interseção
GILBERTO FARIAS DE SOUSA FILHO,Sistema de apoio à decisão clínica para manejo e encaminhamento de nódulos tireoidianos
GILBERTO FARIAS DE SOUSA FILHO,Algoritmo Genético para o Problema da Árvore de Cobertura com Representação Mínima
GILBERTO FARIAS DE SOUSA FILHO,Métodos Exatos para o Problema da Árvore de Cobertura com Representação Mínima
GILBERTO FARIAS DE SOUSA FILHO,PROPOSTA DE SOLUÇÃO PARA UTILIZAÇÃO DE REGISTRO DE OCORRÊNCIAS POLICIAIS PARA AUXILIAR NO PROCESSO DECISÓRIO GERENCIAL NO ÂMBITO DA SEGURANÇA PÚBLICA
GILBERTO FARIAS DE SOUSA FILHO,Métodos Exatos para o Problema do Diâmetro Colorido
GILBERTO FARIAS DE SOUSA FILHO,Solving the minimum labeling global cut problem by mathematical programming
GILBERTO FARIAS DE SOUSA FILHO,Formulação baseada em fechos cromáticos para o problema do corte global rotulado mínimo
GILBERTO FARIAS DE SOUSA FILHO,Nova formulação para o Problema de Cobertura por Ciclos Rainbow
GILBERTO FARIAS DE SOUSA FILHO,Um estudo de caso sobre a avaliação energética de software como uma contribuição à Computação Verde
GILBERTO FARIAS DE SOUSA FILHO,Optimization and implementation of a system for allocating services integrated with the Google Maps service
GILBERTO FARIAS DE SOUSA FILHO,METAHEURÍSTICAS SEQUENCIAS E PARALELAS PARA A CONFIGURAC AO DE UM SERVICO DE DISTRIBUIC AO DE VÍDEO DIGITAL AO VIVO.
GILBERTO FARIAS DE SOUSA FILHO,Modelos e Heurísticas para o Problema de Alocação Dinâmica de Espaços
GILBERTO FARIAS DE SOUSA FILHO,DIGITAL DATA NETWORKS DESIGN USING HYBRID METAHEURISTIC
GILBERTO FARIAS DE SOUSA FILHO,Uma Abordagem Híbrida Aplicada ao Problema da Alocação Dinâmica de Espaços
GILBERTO FARIAS DE SOUSA FILHO,GRASP com memoria adaptativa aplicada ao problema de particionamento de grafos bipartidos por ediç ao de arestas
GILBERTO FARIAS DE SOUSA FILHO,ESTRATÉGIAS PARALELAS E EFICIENTES PARA A CONFIGURAÇÃO DE UM SERVIÇO DE DISTRIBUIÇÃO DE VÍDEO BASEADO EM REPLICAÇÃO MÓVEL
GILBERTO FARIAS DE SOUSA FILHO,ABORDAGENS HEURÍSTICAS APLICADAS AO PROBLEMA GERAL DE DIMENSIONAMENTO E PROGRAMAÇÃO DE LOTES
GILBERTO FARIAS DE SOUSA FILHO,Integer Programming Formulation and GRASP for the Non-Automatic Bicluster Editing Problem
GILBERTO FARIAS DE SOUSA FILHO,Meta-heurıstica GRASP para o problema de particionamento de grafos por ediçao de arestas
GILBERTO FARIAS DE SOUSA FILHO,METAHEURÍSTICAS ILS E ACS PARA GERAÇÃO DE CONFIGURAÇÕES OTIMIZADAS PARA SISTEMAS ORIENTADOS A COMPONENTES
GILBERTO FARIAS DE SOUSA FILHO,Abordagem Hıbrida para o Poblema daArvore Geradora com Rotulaçao Mınima
GILBERTO FARIAS DE SOUSA FILHO,Hybrid metaheuristics
GILBERTO FARIAS DE SOUSA FILHO,ESTRATÉGIA PARALELA PARA UMA METAHEURÍSTICA HÍBRIDA USADA NA CONFIGURAÇÃO DE UM SERVIÇO DE DISTRIBUIÇÃO DE VÍDEO
GILBERTO FARIAS DE SOUSA FILHO,Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo
GILBERTO FARIAS DE SOUSA FILHO,BRANCH-AND-PRICE APLICADO AO PROBLEMA DE PARTICIONAMENTO DE BIGRAFOS POR EDIC AO DE ARESTAS
ALAN KELON OLIVEIRA DE MORAES,A source code recommender system to support newcomers
ALAN KELON OLIVEIRA DE MORAES,Recommending experts using communication history
ALAN KELON OLIVEIRA DE MORAES,Comunicação em equipes distribuídas de desenvolvimento de software: Revisão sistemática
ALAN KELON OLIVEIRA DE MORAES,A family of test selection criteria for timed input-output symbolic transition system models
ALAN KELON OLIVEIRA DE MORAES,"An Expert Recommender System to Distributed Software Development: Requirements, Project and Preliminary Results"
ALAN KELON OLIVEIRA DE MORAES,Open Source Software Factory–Step by Step: A Case Report
ALAN KELON OLIVEIRA DE MORAES,Fatores que afetam o Desenvolvimento Distribuído de Software
ALAN KELON OLIVEIRA DE MORAES,Towards a family of test selection criteria for symbolic models of real-time systems
ALAN KELON OLIVEIRA DE MORAES,Open Source Software Factories: Pushing the Software Engineering into the Open Source Development
ALAN KELON OLIVEIRA DE MORAES,On the influence of test adequacy criteria on test suite reduction for model-based testing of real-time systems.
ALAN KELON OLIVEIRA DE MORAES,Centro de Engenharia Elétrica e Informática
ALAN KELON OLIVEIRA DE MORAES,COLLABORE: UMA ABORGAGEM MODULAR NA FORMULAÇÃO DE CURSOS
ALAN KELON OLIVEIRA DE MORAES,"Maternal, fetal and newborn in the maternity Arnaldo de Moraes; data for a period of just over 4 years"
ALAN KELON OLIVEIRA DE MORAES,"Open Source Software Factory–Step by Step: A Case Report: Alan Kelon Oliveira de Moraes (Centro de Informàtica–UFPE, Brazil)"
ALAN KELON OLIVEIRA DE MORAES,Presley: uma Ferramenta de Comunicação Assíncrona para Apoio à Colaboração em Ambientes de Desenvolvimento Distribuído de Software
ALAN KELON OLIVEIRA DE MORAES,Presley: uma Ferramenta de Recomendação de Especialistas no Contexto de Código-Fonte para Apoio à Colaboração em Desenvolvimento Distribuído de Software
