Professor,Artigo,Ano
THAIS GAUDÊNCIO,Previsão de demanda de longo prazo aplicada a uma empresa do varejo de cosméticos utilizando o Prophet,2024
THAIS GAUDÊNCIO,Evaluating Deep Learning-based Chess-Engine Endgame Strategies,2023
THAIS GAUDÊNCIO,Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis,2023
THAIS GAUDÊNCIO,Automatic Recognition of Units,2022
THAIS GAUDÊNCIO,Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,2021
THAIS GAUDÊNCIO,Portal para exposição de infográficos interativos dos dados das proposições da Câmara dos Deputados,2019
THAIS GAUDÊNCIO,Detecção de ilhas genômicas em procariotos utilizando o método Expectation-Maximization,2017
THAIS GAUDÊNCIO,Abordagem passiva para reconhecimento de adulterações em imagens digitais através da análise do padrão CFA e do BAG,2017
THAIS GAUDÊNCIO,Passive approach to recognition of tampering in digital images through the CFA and BAG standard analysis,2017
THAIS GAUDÊNCIO,Assessment of volumetric dense tissue segmentation in tomosynthesis using deep virtual clinical trials,Sem ano
THAIS GAUDÊNCIO,Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação,Sem ano
THAIS GAUDÊNCIO,Supplement: Inferring Epigenetic and Transcriptional Regulation during Blood Cell Development with a Mixture of Sparse Linear Models,Sem ano
THAIS GAUDÊNCIO,Reconhecimento de adulteração de imagens JPEG através da inconsistência do Block Artifact Grid,Sem ano
THAIS GAUDÊNCIO,Bioinformatics for the identification of antimicrobial targets in oral bacteria,Sem ano
GILBERTO FARIAS,An efficient heuristic for the ring star problem,2006
GILBERTO FARIAS,Hybrid metaheuristic for bicluster editing problem,2012
GILBERTO FARIAS,Introdução à computação,2013
GILBERTO FARIAS,New algorithms for the minimum coloring cut problem,2019
GILBERTO FARIAS,New heuristics for the bicluster editing problem,2017
GILBERTO FARIAS,Branch-and-cut approaches for p-cluster editing,2017
GILBERTO FARIAS,Métodos exatos aplicados ao problema do corte global rotulado mınimo,2016
GILBERTO FARIAS,A parallel hybrid metaheuristic for bicluster editing,2016
GILBERTO FARIAS,Otimização e implementação de um sistema de alocação ótima de serviços públicos utilizando a metaheurística Grasp,2010
GILBERTO FARIAS,The biclique partitioning polytope,2021
GILBERTO FARIAS,Efficient heuristics for the minimum labeling global cut problem,2018
GILBERTO FARIAS,Uma Metaheurística GRASP para Otimização de Sistemas Orientados a Componentes de Software,2007
GILBERTO FARIAS,"SILVA, Linconl David Nery e; SOUSA FILHO, Gilberto Farias de",2004
GILBERTO FARIAS,Classificação de fraudes em licitações públicas através do agrupamento de empresas em conluios,2023
GILBERTO FARIAS,Introdução à Computação. 2014,2016
GILBERTO FARIAS,Declawing a graph: polyhedra and Branch-and-Cut algorithms,2021
GILBERTO FARIAS,Algoritmos de Planos de Corte para o Problema Livre de Garra,2019
GILBERTO FARIAS,Um Avaliador Automático de Eﬁciência de Algoritmos para Ambientes Educacionais de Ensino de Programação,2014
GILBERTO FARIAS,Modelagem de Funcionalidades de Sistema Hipermídia Adaptativa para o Interpretador Gráfico de Estrutura de Dados,2013
GILBERTO FARIAS,Metaheuristic GRASP for the Bicluster Editing Problem,2012
GILBERTO FARIAS,Desenvolvimento de um Interpretador de Comandos e Avaliador Gráfico para o Ensino de Estrutura de Dados (IGED),2011
GILBERTO FARIAS,Uma metaheurística GRASP para configuração de um serviço de distribuição de vídeo baseado em replicação móvel,2005
GILBERTO FARIAS,Solving the minimum labeling global cut problem by mathematical programming,2024
GILBERTO FARIAS,Classificador de notificações de acidentes ambientais no Sistema Nacional de Emergências Ambientais do IBAMA,2023
GILBERTO FARIAS,Identificação de fraudes em licitações: uma abordagem utilizando agrupamento por interseção,2023
GILBERTO FARIAS,Sistema de apoio à decisão clínica para manejo e encaminhamento de nódulos tireoidianos,2023
GILBERTO FARIAS,Algoritmo Genético para o Problema da Árvore de Cobertura com Representação Mínima,2021
GILBERTO FARIAS,Métodos Exatos para o Problema da Árvore de Cobertura com Representação Mínima,2021
GILBERTO FARIAS,PROPOSTA DE SOLUÇÃO PARA UTILIZAÇÃO DE REGISTRO DE OCORRÊNCIAS POLICIAIS PARA AUXILIAR NO PROCESSO DECISÓRIO GERENCIAL NO ÂMBITO DA SEGURANÇA PÚBLICA,2021
GILBERTO FARIAS,Métodos Exatos para o Problema do Diâmetro Colorido,2020
GILBERTO FARIAS,Solving the minimum labeling global cut problem by mathematical programming,2019
GILBERTO FARIAS,Formulação baseada em fechos cromáticos para o problema do corte global rotulado mínimo,2019
GILBERTO FARIAS,Nova formulação para o Problema de Cobertura por Ciclos Rainbow,2018
GILBERTO FARIAS,Um estudo de caso sobre a avaliação energética de software como uma contribuição à Computação Verde,2013
GILBERTO FARIAS,Optimization and implementation of a system for allocating services integrated with the Google Maps service,2012
GILBERTO FARIAS,METAHEURÍSTICAS SEQUENCIAS E PARALELAS PARA A CONFIGURAC AO DE UM SERVICO DE DISTRIBUIC AO DE VÍDEO DIGITAL AO VIVO.,2008
GILBERTO FARIAS,Modelos e Heurísticas para o Problema de Alocação Dinâmica de Espaços,Sem ano
GILBERTO FARIAS,DIGITAL DATA NETWORKS DESIGN USING HYBRID METAHEURISTIC,Sem ano
GILBERTO FARIAS,Uma Abordagem Híbrida Aplicada ao Problema da Alocação Dinâmica de Espaços,Sem ano
GILBERTO FARIAS,GRASP com memoria adaptativa aplicada ao problema de particionamento de grafos bipartidos por ediç ao de arestas,Sem ano
GILBERTO FARIAS,ESTRATÉGIAS PARALELAS E EFICIENTES PARA A CONFIGURAÇÃO DE UM SERVIÇO DE DISTRIBUIÇÃO DE VÍDEO BASEADO EM REPLICAÇÃO MÓVEL,Sem ano
GILBERTO FARIAS,ABORDAGENS HEURÍSTICAS APLICADAS AO PROBLEMA GERAL DE DIMENSIONAMENTO E PROGRAMAÇÃO DE LOTES,Sem ano
GILBERTO FARIAS,Integer Programming Formulation and GRASP for the Non-Automatic Bicluster Editing Problem,Sem ano
GILBERTO FARIAS,Meta-heurıstica GRASP para o problema de particionamento de grafos por ediçao de arestas,Sem ano
GILBERTO FARIAS,METAHEURÍSTICAS ILS E ACS PARA GERAÇÃO DE CONFIGURAÇÕES OTIMIZADAS PARA SISTEMAS ORIENTADOS A COMPONENTES,Sem ano
GILBERTO FARIAS,Abordagem Hıbrida para o Poblema daArvore Geradora com Rotulaçao Mınima,Sem ano
GILBERTO FARIAS,Hybrid metaheuristics,Sem ano
GILBERTO FARIAS,ESTRATÉGIA PARALELA PARA UMA METAHEURÍSTICA HÍBRIDA USADA NA CONFIGURAÇÃO DE UM SERVIÇO DE DISTRIBUIÇÃO DE VÍDEO,Sem ano
GILBERTO FARIAS,Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo,Sem ano
GILBERTO FARIAS,BRANCH-AND-PRICE APLICADO AO PROBLEMA DE PARTICIONAMENTO DE BIGRAFOS POR EDIC AO DE ARESTAS,Sem ano
GLEDSON ELIAS,A recommendation framework for allocating global software teams in software product line projects,2010
GLEDSON ELIAS,X-arm: an asset representation model for component repository systems,2006
GLEDSON ELIAS,A systematic review of software product lines applied to mobile middleware,2009
GLEDSON ELIAS,Performance issues of ad hoc routing protocols in a network scenario used for videophone applications,2005
GLEDSON ELIAS,Big videos on small networks. a hierarchical and distributed architecture for a video on demand distribution service,2005
GLEDSON ELIAS,Arquitetura e Protocolos de Rede TCP-IP,2013
GLEDSON ELIAS,A layered routing architecture for infrastructure wireless mesh networks,2009
GLEDSON ELIAS,An XML-based component specification model for an adaptive middleware of interactive digital television systems,2004
GLEDSON ELIAS,"Spontaneous software: a Web-based, object computing paradigm",2000
GLEDSON ELIAS,"Exploring an open, distributed multimedia framework to design and develop an adaptive middleware for interactive digital television systems",2004
GLEDSON ELIAS,A risk-driven multi-objective evolutionary approach for selecting software requirements,2019
GLEDSON ELIAS,Um Serviço de Repositório Compartilhado e Distribuído para Suporte ao Desenvolvimento Baseado em Componentes,2007
GLEDSON ELIAS,A Configuration Distribution System for Heterogeneous Networks.,1998
GLEDSON ELIAS,A fuzzy-based approach for selecting technically qualified distributed software development teams,2017
GLEDSON ELIAS,"Clustering large-scale, distributed software component repositories",2012
GLEDSON ELIAS,Simulation-based performance evaluation of the SNDP protocol for infrastructure WMNs,2010
GLEDSON ELIAS,Integrating communication paradigms in a mobile middleware product line,2010
GLEDSON ELIAS,Um framework de recomendação para alocação de equipes de desenvolvimento em projetos distribuídos de linhas de produto de software,2010
GLEDSON ELIAS,Qos specification and management in a middleware for distributed multimedia systems,2006
GLEDSON ELIAS,"A Component-Based Configuration Framework for Open, Distributed Multimedia Systems",2004
GLEDSON ELIAS,Indexing Semi-Structured Data for Efficient Handling of Branching Path Expressions,2010
GLEDSON ELIAS,A Scalable Neighborhood Discovery Protocol for Infrastructure Wireless Mesh Networks,2009
GLEDSON ELIAS,A management and configuration infrastructure for RNP’s digital video distribution service,2006
GLEDSON ELIAS,A Component Interconnection Model for Interactive Digital Television,2006
GLEDSON ELIAS,ComponentForge: Um Framework Arquitetural para Desenvolvimento Distribuído Baseado em Componentes. VI Workshop de Desenvolvimento Baseado em Componentes. Recife-PE,2006
GLEDSON ELIAS,Um serviço CORBA para Descoberta de Componentes,2004
GLEDSON ELIAS,"A quantitative, evidence-based approach for recommending software modules",2015
GLEDSON ELIAS,Large software component repositories into small index files,2011
GLEDSON ELIAS,A search service for software components based on a semi-structured data representation model,2009
GLEDSON ELIAS,Análise de Repositórios de Componentes para a Identificação das Soluções mais Adotadas,2005
GLEDSON ELIAS,"A component-based configuration and management framework for open, distributed multimedia systems",2004
GLEDSON ELIAS,Cosmos: Um Framework para Configuração e Gerenciamento de Sistemas Multimídia Distribuídos Abertos,2003
GLEDSON ELIAS,A metacomponent model to support the extensibility and evolvability of networked applications,2000
GLEDSON ELIAS,Selection and allocation of people based on technical and personality profiles for software development projects,2019
GLEDSON ELIAS,"A Multi-Objective, Risk-based Approach for Selecting Software Requirements.",2018
GLEDSON ELIAS,An ontology for the recommendation of technically qualified teams in distributed software projects,2015
GLEDSON ELIAS,Suporte à Certificação de Componentes no Modelo de Representação X-ARM,2007
GLEDSON ELIAS,"Sharing Software Components Using a Service-Oriented, Distributed and Secure Infrastructure",2007
GLEDSON ELIAS,X-ARM: A step towards reuse of commercial and open source components,2006
GLEDSON ELIAS,"Improving reuse of off-the-shelf components with shared, distributed component repository systems",2006
GLEDSON ELIAS,Uma arquitetura de Middleware para sistemas de televisão interativa,2003
GLEDSON ELIAS,CoDelivery: an environment for distribution of reusable components,2000
GLEDSON ELIAS,An Automated Approach for Selecting Bugs in Component-Based Software Projects,2017
GLEDSON ELIAS,Uso de Atributos Não-técnicos na Alocação de Equipes em Projetos de Desenvolvimento Distribuído de Software,2011
GLEDSON ELIAS,Uma Abordagem Baseada em Lógica Nebulosa para Seleção de Equipes Distribuídas Tecnicamente Qualificadas,2011
GLEDSON ELIAS,Customizing message-oriented mobile middleware,2010
GLEDSON ELIAS,Towards a mobile middleware product line: A requirement analysis,2010
GLEDSON ELIAS,"An Extensible, Multi-paradigm Message-oriented Mobile Middleware.",2010
GLEDSON ELIAS,Um Modelo de Metadados para Representação de Componentes de Software,2006
GLEDSON ELIAS,Componentforge: Um framework arquitetural para desenvolvimento distribuiçao baseado em componentes,2006
GLEDSON ELIAS,Uma arquitetura para configuração e gerenciamento de recursos em um Middleware para sistemas de televisão digital interativa,2004
GLEDSON ELIAS,A Risk-Based Approach for Selecting Software Requirements,2017
GLEDSON ELIAS,Uma Ontologia para Recomendação de Equipes Tecnicamente Qualificadas em Projetos Distribuídos de Software,2015
GLEDSON ELIAS,"Experimental Evaluation of a Multi-paradigm, Message-Oriented Mobile Middleware",2014
GLEDSON ELIAS,Uma Técnica de Indexação de Artefatos de Software Baseada em Dados Semi-Estruturados,2009
GLEDSON ELIAS,Um Relato de Experiência com uma Infra-Estrutura para Desenvolvimento Distribuído Baseado em Componentes,2008
GLEDSON ELIAS,Uma Ferramenta de Configuração e Gerenciamento de Serviços de Distribuição de Vídeo Digital,2007
GLEDSON ELIAS,A meta-component model for dynamic adaptation support in a middleware system for interactive tv,2006
GLEDSON ELIAS,Um Modelo de Interconexão de Componentes e sua Implementação em um Middleware para para Sistemas de Televisão Digital Interativa,2005
GLEDSON ELIAS,A Context Data Metamodel for Distributed Middleware Platforms in Smart Cities,2019
GLEDSON ELIAS,Evaluating an Application Ontology for Recommending Technically Qualified Distributed Development Teams,2017
GLEDSON ELIAS,"BranchGuide: an indexing technique for efficient, lossless processing of branching path queries",2015
GLEDSON ELIAS,Simulation-Based Performance Evaluation of the MLSD Protocol for Infrastructure WMNs,2014
GLEDSON ELIAS,Usando hill climbing para identificação de componentes de software similares,2014
GLEDSON ELIAS,MLSD: A Network Topology Discovery Protocol for Infrastructure Wireless Mesh Networks,2014
GLEDSON ELIAS,A Layered Routing Architecture for Infrastructure Wireless Mesh Networks,2011
GLEDSON ELIAS,Turning Large Software Component Repositories into Small Index Files,2011
GLEDSON ELIAS,A component interconnection model for interactive digital television systems,2006
GLEDSON ELIAS,An Automated Approach for Selecting Web Services,Sem ano
GLEDSON ELIAS,Alocando Equipes Distribuídas com base em Aspectos Não-Técnicos,Sem ano
GLEDSON ELIAS,Uma Estratégia de Otimização para Agrupamento de Componentes de Software Baseada em DSM,Sem ano
GLEDSON ELIAS,Uma Ferramenta para Propagação da Percepção em Projetos de Software Através de Microblogs,Sem ano
GLEDSON ELIAS,Uma Arquitetura de Interconexão de Componentes em Ambientes Multimídia Distribuídos,Sem ano
GLEDSON ELIAS,Um Ambiente de Execução de Componentes JavaBeans,Sem ano
GLEDSON ELIAS,Um Protocolo de Descoberta de Vizinhança Escalável para Redes em Malha Sem Fio Infra-Estruturadas,Sem ano
GLEDSON ELIAS,Suporte a Relacionamentos entre Equipes Distribuídas em um Repositório de Componentes de Software,Sem ano
GLEDSON ELIAS,Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo,Sem ano
GLEDSON ELIAS,Uma Infra-estrutura Colaborativa de Apoio ao Desenvolvimento Distribuído Baseado em Componentes,Sem ano
GLEDSON ELIAS,Explorando Técnicas de Agrupamento de Dados na Indexação de Repositórios de Componentes de Software,Sem ano
GLEDSON ELIAS,"Wireless Mesh Networks 2010 Part 7 ppt Bạn đang xem bản rút gọn của tài liệu. Xem và tải ngay bản đầy đủ của tài liệu tại đây (1.22 MB, 20 trang)",Sem ano
TEOBALDO BULHÕES,The static bike relocation problem with multiple vehicles and visits,2018
TEOBALDO BULHÕES,The vehicle routing problem with service level constraints,2018
TEOBALDO BULHÕES,A branch-and-price algorithm for the minimum latency problem,2018
TEOBALDO BULHÕES,A hybrid algorithm for the multi-depot heterogeneous dial-a-ride problem,2021
TEOBALDO BULHÕES,On the exact solution of a large class of parallel machine scheduling problems,2020
TEOBALDO BULHÕES,On the complete set packing and set partitioning polytopes: Properties and rank 1 facets,2018
TEOBALDO BULHÕES,A unified exact approach for a broad class of vehicle routing problems with simultaneous pickup and delivery,2024
TEOBALDO BULHÕES,Exact approaches for single machine total weighted tardiness batch scheduling,2022
TEOBALDO BULHÕES,New heuristics for the Bicluster Editing Problem,2017
TEOBALDO BULHÕES,Branch-and-cut approaches for p-cluster editing,2017
TEOBALDO BULHÕES,Conference scheduling: A clustering-based approach,2022
TEOBALDO BULHÕES,Scheduling the Brazilian OR conference,2021
TEOBALDO BULHÕES,Branch-and-price for p-cluster editing,2017
TEOBALDO BULHÕES,Exact and heuristic algorithms for minimizing the makespan on a single machine scheduling problem with sequence-dependent setup times and release dates,2023
TEOBALDO BULHÕES,A parallel hybrid metaheuristic for bicluster editing,2016
TEOBALDO BULHÕES,A new family of route formulations for split delivery vehicle routing problems,2023
TEOBALDO BULHÕES,The biclique partitioning polytope,2021
TEOBALDO BULHÕES,An efficient hybrid genetic algorithm for the traveling salesman problem with release dates,2024
TEOBALDO BULHÕES,Cluster Editing,2022
TIAGO PEREIRA DO NASCIMENTO,Position and attitude control of multi-rotor aerial vehicles: A survey,2019
TIAGO PEREIRA DO NASCIMENTO,Robotic mobile fulfillment systems: A survey on recent developments and research opportunities,2021
TIAGO PEREIRA DO NASCIMENTO,Nonholonomic mobile robots' trajectory tracking model predictive control: a survey,2018
TIAGO PEREIRA DO NASCIMENTO,Nonlinear model predictive control for trajectory tracking of nonholonomic mobile robots: A modified approach,2018
TIAGO PEREIRA DO NASCIMENTO,Multi-robot nonlinear model predictive formation control: Moving target and target absence,2013
TIAGO PEREIRA DO NASCIMENTO,Kalman filter with dynamical setting of optimal process noise covariance,2017
TIAGO PEREIRA DO NASCIMENTO,Aerodynamic effects compensation on multi-rotor UAVs based on a neural network control allocation approach,2021
TIAGO PEREIRA DO NASCIMENTO,MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,2022
TIAGO PEREIRA DO NASCIMENTO,Formation control driven by cooperative object tracking,2015
TIAGO PEREIRA DO NASCIMENTO,Multi-robot nonlinear model predictive formation control: the obstacle avoidance problem,2016
TIAGO PEREIRA DO NASCIMENTO,A novel approach for speed and failure detection in brushless DC motors based on chaos,2018
TIAGO PEREIRA DO NASCIMENTO,Formation control of unmanned micro aerial vehicles for straitened environments,2020
TIAGO PEREIRA DO NASCIMENTO,Experimental evaluation of ROS compatible SLAM algorithms for RGB-D sensors,2017
TIAGO PEREIRA DO NASCIMENTO,MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,2023
TIAGO PEREIRA DO NASCIMENTO,Perception-driven motion control based on stochastic nonlinear model predictive controllers,2019
TIAGO PEREIRA DO NASCIMENTO,Perception-driven multi-robot formation control,2013
TIAGO PEREIRA DO NASCIMENTO,Stairs and doors recognition as natural landmarks based on clouds of 3D edge-points from RGB-D sensors for mobile robot localization,2017
TIAGO PEREIRA DO NASCIMENTO,Landing a UAV in harsh winds and turbulent open waters,2022
TIAGO PEREIRA DO NASCIMENTO,Side-pull maneuver: A novel control strategy for dragging a cable-tethered load of unknown weight using a UAV,2022
TIAGO PEREIRA DO NASCIMENTO,A novel approach for brushless DC motors characterization in drones based on chaos,2018
TIAGO PEREIRA DO NASCIMENTO,Intelligent state changing applied to multi-robot systems,2013
TIAGO PEREIRA DO NASCIMENTO,Self-organized uav flocking based on proximal control,2021
TIAGO PEREIRA DO NASCIMENTO,A multi-UAV system for detection and elimination of multiple targets,2021
TIAGO PEREIRA DO NASCIMENTO,Admittance force-based uav-wall stabilization and press exertion for documentation and inspection of historical buildings,2021
TIAGO PEREIRA DO NASCIMENTO,A multi-layer software architecture for aerial cognitive multi-robot systems in power line inspection tasks,2021
TIAGO PEREIRA DO NASCIMENTO,UAV vision-based nonlinear formation control applied to inspection of electrical power lines,2020
TIAGO PEREIRA DO NASCIMENTO,Safe documentation of historical monuments by an autonomous unmanned aerial vehicle,2021
TIAGO PEREIRA DO NASCIMENTO,Nonlinear model predictive formation control: An iterative weighted tuning approach,2015
TIAGO PEREIRA DO NASCIMENTO,Multi-robot systems formation control with obstacle avoidance,2014
TIAGO PEREIRA DO NASCIMENTO,Controle de trajetória de robôs móveis omni-direcionais: uma abordagem multivariável,2009
TIAGO PEREIRA DO NASCIMENTO,Multi-robot sensor fusion target tracking with observation constraints,2021
TIAGO PEREIRA DO NASCIMENTO,Safe tightly-constrained uav swarming in gnss-denied environments,2021
TIAGO PEREIRA DO NASCIMENTO,Dynamic leader allocation in multi-robot systems based on nonlinear model predictive control,2020
TIAGO PEREIRA DO NASCIMENTO,Modeling omnidirectional mobile robots: an approach using SimTwo,2012
TIAGO PEREIRA DO NASCIMENTO,A set of novel modifications to improve algorithms from the A* family applied in mobile robotics,2013
TIAGO PEREIRA DO NASCIMENTO,Motion and Teaching of a NAO Robot,2011
TIAGO PEREIRA DO NASCIMENTO,An open-design warehouse mobile robot,2020
TIAGO PEREIRA DO NASCIMENTO,Testing real-time embedded systems using high level architecture,2016
TIAGO PEREIRA DO NASCIMENTO,A new cost function heuristic applied to A* based path planning in static and dynamic environments,2015
TIAGO PEREIRA DO NASCIMENTO,Coordinated multi-robot formation control,2012
TIAGO PEREIRA DO NASCIMENTO,Embedded fast nonlinear model predictive control for micro aerial vehicles,2021
TIAGO PEREIRA DO NASCIMENTO,A 3d anti-collision system based on artificial potential field method for a mobile robot,2017
TIAGO PEREIRA DO NASCIMENTO,Verification of embedded system designs through hardware-software co-simulation,2015
TIAGO PEREIRA DO NASCIMENTO,Leader following formation control for omnidirectional mobile robots: the target chasing problem,2011
TIAGO PEREIRA DO NASCIMENTO,Controlling a swarm of unmanned aerial vehicles using full-body k-nearest neighbor based action classifier,2022
TIAGO PEREIRA DO NASCIMENTO,A project of an embedded control system for autonomous quadrotor UAVs,2018
TIAGO PEREIRA DO NASCIMENTO,Axebot robot the mechanical design for an autonomous omnidirectional mobile robot,2009
TIAGO PEREIRA DO NASCIMENTO,Heterogeneous multi-robot systems approach for warehouse inventory management,2023
TIAGO PEREIRA DO NASCIMENTO,TurtleUI: A generic graphical user interface for robot control,2019
TIAGO PEREIRA DO NASCIMENTO,Activity recognition in a physical interactive robogame,2017
TIAGO PEREIRA DO NASCIMENTO,Online learning and teaching of emergent behaviors in multi-robot teams,2019
TIAGO PEREIRA DO NASCIMENTO,Learning and mining player motion profiles in physically interactive robogames,2018
TIAGO PEREIRA DO NASCIMENTO,Modeling player activity in a physical interactive robot game scenario,2017
TIAGO PEREIRA DO NASCIMENTO,Testing real-time embedded systems with hardware-in-the-loop simulation using high level architecture,2015
TIAGO PEREIRA DO NASCIMENTO,Omnidirectional mobile robot’s multivariable trajectory tracking control: a robustness analysis,2010
TIAGO PEREIRA DO NASCIMENTO,Estimating the loss of effectiveness of UAV actuators in the presence of aerodynamic effects,2023
TIAGO PEREIRA DO NASCIMENTO,Fast nonlinear model predictive control for very-small aerial vehicles,2020
TIAGO PEREIRA DO NASCIMENTO,N-learning: An approach for learning and teaching skills in multirobot teams,2020
TIAGO PEREIRA DO NASCIMENTO,Iterative weighted tuning for a nonlinear model predictive formation control,2014
TIAGO PEREIRA DO NASCIMENTO,5dpo 2011: Team description paper,2011
TIAGO PEREIRA DO NASCIMENTO,A PSO-based tuning algorithm for quadcopter controllers,2019
