Artigo,Coautor
Structural evolution of Glycyl-tRNA synthetases alpha subunit and its implication in the initial organization of the decoding system,Daniel Antonino
Structural evolution of Glycyl-tRNA synthetases alpha subunit and its implication in the initial organization of the decoding system,Thais Gaudêncio Rêgo
Structural evolution of Glycyl-tRNA synthetases alpha subunit and its implication in the initial organization of the decoding system,Marco V José
Percepção do conhecimento dos alunos de ensino médio do município de João Pessoa-PB sobre temas emergentes em biotecnologia,JPM Durbano
Percepção do conhecimento dos alunos de ensino médio do município de João Pessoa-PB sobre temas emergentes em biotecnologia,IQM Padilha
Percepção do conhecimento dos alunos de ensino médio do município de João Pessoa-PB sobre temas emergentes em biotecnologia,TG Rêgo
Percepção do conhecimento dos alunos de ensino médio do município de João Pessoa-PB sobre temas emergentes em biotecnologia,PAL Rodrigues
Percepção do conhecimento dos alunos de ensino médio do município de João Pessoa-PB sobre temas emergentes em biotecnologia,DAM ARAÚJO
Origin of the 16S ribosomal molecule from ancestor tRNAs,Savio Torres de Farias
Origin of the 16S ribosomal molecule from ancestor tRNAs,Thais Gaudêncio Rêgo
Origin of the 16S ribosomal molecule from ancestor tRNAs,Marco V José
A study on the use of sequence-to-sequence neural networks for automatic translation of brazilian portuguese to libras,Vinícius Veríssimo
A study on the use of sequence-to-sequence neural networks for automatic translation of brazilian portuguese to libras,Cecília Silva
A study on the use of sequence-to-sequence neural networks for automatic translation of brazilian portuguese to libras,Vitor Hanael
A study on the use of sequence-to-sequence neural networks for automatic translation of brazilian portuguese to libras,Caio Moraes
A study on the use of sequence-to-sequence neural networks for automatic translation of brazilian portuguese to libras,Rostand Costa
A study on the use of sequence-to-sequence neural networks for automatic translation of brazilian portuguese to libras,Tiago Maritan
A study on the use of sequence-to-sequence neural networks for automatic translation of brazilian portuguese to libras,Manuella Aschoff
"Análise farmacológica e toxicológica in silico do flavonoide 5-hidroxi-4’, 7-dimetoxiflavona",VF Oliveiral
"Análise farmacológica e toxicológica in silico do flavonoide 5-hidroxi-4’, 7-dimetoxiflavona",HMBF Oliveira
"Análise farmacológica e toxicológica in silico do flavonoide 5-hidroxi-4’, 7-dimetoxiflavona",Cássio Ilan Soares Medeiros
"Análise farmacológica e toxicológica in silico do flavonoide 5-hidroxi-4’, 7-dimetoxiflavona",AA Oliveira-Filho
"Análise farmacológica e toxicológica in silico do flavonoide 5-hidroxi-4’, 7-dimetoxiflavona",TG Rego
A proposal of the proteome before the last universal common ancestor (LUCA),Sávio Torres de Farias
A proposal of the proteome before the last universal common ancestor (LUCA),Thais Gaudêncio Rêgo
A proposal of the proteome before the last universal common ancestor (LUCA),Marco V José
In Silico Approach for the Identification of Potential Targets and Specific Antimicrobials for Streptococcus mutans,Andréa Cristina Barbosa da Silva
In Silico Approach for the Identification of Potential Targets and Specific Antimicrobials for Streptococcus mutans,Diego Romário da Silva
In Silico Approach for the Identification of Potential Targets and Specific Antimicrobials for Streptococcus mutans,Sabrina Avelar de Macêdo Ferreira
In Silico Approach for the Identification of Potential Targets and Specific Antimicrobials for Streptococcus mutans,Gustavo Gomes Agripino
In Silico Approach for the Identification of Potential Targets and Specific Antimicrobials for Streptococcus mutans,Allan Reis Albuquerque
In Silico Approach for the Identification of Potential Targets and Specific Antimicrobials for Streptococcus mutans,Thaís Gaudencio do Rêgo
RNAmining: A machine learning stand-alone and web server tool for RNA coding potential prediction,Thaís AR Ramos
RNAmining: A machine learning stand-alone and web server tool for RNA coding potential prediction,Nilbson RO Galindo
RNAmining: A machine learning stand-alone and web server tool for RNA coding potential prediction,Raúl Arias-Carrasco
RNAmining: A machine learning stand-alone and web server tool for RNA coding potential prediction,Cecília F da Silva
RNAmining: A machine learning stand-alone and web server tool for RNA coding potential prediction,Vinicius Maracaja-Coutinho
RNAmining: A machine learning stand-alone and web server tool for RNA coding potential prediction,Thaís G do Rêgo
A multiple stream architecture for the recognition of signs in Brazilian sign language in the context of health,Diego RB da Silva
A multiple stream architecture for the recognition of signs in Brazilian sign language in the context of health,Tiago Maritan U de Araújo
A multiple stream architecture for the recognition of signs in Brazilian sign language in the context of health,Thaís Gaudencio do Rêgo
A multiple stream architecture for the recognition of signs in Brazilian sign language in the context of health,Manuella Aschoff Cavalcanti Brandão
A multiple stream architecture for the recognition of signs in Brazilian sign language in the context of health,Luiz Marcos Garcia Gonçalves
An overview of databases and bioinformatics tools for plant antimicrobial peptides,Isadora Louise Alves da Costa Ribeiro Quintans
An overview of databases and bioinformatics tools for plant antimicrobial peptides,João VA de Araújo
An overview of databases and bioinformatics tools for plant antimicrobial peptides,Lívia Noémia Morais Rocha
An overview of databases and bioinformatics tools for plant antimicrobial peptides,Annie Elisabeth Beltrão de Andrade
An overview of databases and bioinformatics tools for plant antimicrobial peptides,Thaís G do Régo
An overview of databases and bioinformatics tools for plant antimicrobial peptides,Michael K Deyholos
Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação,Fellipe Costa
Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação,Anderson Rufino dos Santos Silva
Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação,Daniel Miranda de Brito
Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação,Thaís Gaudêncio do Rêgo
Single-cell transcriptional landscape of long non-coding RNAs orchestrating mouse heart development,Thaís AR Ramos
Single-cell transcriptional landscape of long non-coding RNAs orchestrating mouse heart development,Sebastián Urquiza-Zurich
Single-cell transcriptional landscape of long non-coding RNAs orchestrating mouse heart development,Soo Young Kim
Single-cell transcriptional landscape of long non-coding RNAs orchestrating mouse heart development,Thomas G Gillette
Single-cell transcriptional landscape of long non-coding RNAs orchestrating mouse heart development,Joseph A Hill
Single-cell transcriptional landscape of long non-coding RNAs orchestrating mouse heart development,Sergio Lavandero
Single-cell transcriptional landscape of long non-coding RNAs orchestrating mouse heart development,Thaís G do Rêgo
Single-cell transcriptional landscape of long non-coding RNAs orchestrating mouse heart development,Vinicius Maracaja-Coutinho
"Structural analysis of a novel N-carbamoyl-D-amino acid amidohydrolase from a Brazilian Bradyrhizobium japonicum strain: in silico insights by molecular modelling, docking and molecular dynamics",Reinaldo G Bellini
"Structural analysis of a novel N-carbamoyl-D-amino acid amidohydrolase from a Brazilian Bradyrhizobium japonicum strain: in silico insights by molecular modelling, docking and molecular dynamics",Mônika Aparecida Coronado
"Structural analysis of a novel N-carbamoyl-D-amino acid amidohydrolase from a Brazilian Bradyrhizobium japonicum strain: in silico insights by molecular modelling, docking and molecular dynamics",Alexandre Rossi Paschoal
"Structural analysis of a novel N-carbamoyl-D-amino acid amidohydrolase from a Brazilian Bradyrhizobium japonicum strain: in silico insights by molecular modelling, docking and molecular dynamics",Thaís Gaudencio do Rêgo
"Structural analysis of a novel N-carbamoyl-D-amino acid amidohydrolase from a Brazilian Bradyrhizobium japonicum strain: in silico insights by molecular modelling, docking and molecular dynamics",Mariangela Hungria
"Structural analysis of a novel N-carbamoyl-D-amino acid amidohydrolase from a Brazilian Bradyrhizobium japonicum strain: in silico insights by molecular modelling, docking and molecular dynamics",Ana Tereza Ribeiro de Vasconcelos
"Structural analysis of a novel N-carbamoyl-D-amino acid amidohydrolase from a Brazilian Bradyrhizobium japonicum strain: in silico insights by molecular modelling, docking and molecular dynamics",Marisa Fabiana Nicolás
Evasao de estudantes universitários: diagnóstico a partir de dados acadêmicos e socieconômicos,Tulio Pascoal
Evasao de estudantes universitários: diagnóstico a partir de dados acadêmicos e socieconômicos,Daniel Miranda de Brito
Evasao de estudantes universitários: diagnóstico a partir de dados acadêmicos e socieconômicos,Leandro Andrade
Evasao de estudantes universitários: diagnóstico a partir de dados acadêmicos e socieconômicos,Thaís Gaudêncio do Rêgo
Evolution of transfer RNA and the origin of the translation system. Front Genet 5: 303,ST Farias
Evolution of transfer RNA and the origin of the translation system. Front Genet 5: 303,TG do Rêgo
Evolution of transfer RNA and the origin of the translation system. Front Genet 5: 303,MV José
CORAZON: a web server for data normalization and unsupervised clustering based on expression profiles,Thaís AR Ramos
CORAZON: a web server for data normalization and unsupervised clustering based on expression profiles,Vinicius Maracaja-Coutinho
CORAZON: a web server for data normalization and unsupervised clustering based on expression profiles,J Miguel Ortega
CORAZON: a web server for data normalization and unsupervised clustering based on expression profiles,Thais G Do Rego
Analysis of rule-based machine translation and neural machine translation approaches for translating portuguese to libras,Caio César Moraes de Oliveira
Analysis of rule-based machine translation and neural machine translation approaches for translating portuguese to libras,Thaís Gaudencio do Rêgo
Analysis of rule-based machine translation and neural machine translation approaches for translating portuguese to libras,Manuella Aschoff Cavalcanti Brandão Lima
Analysis of rule-based machine translation and neural machine translation approaches for translating portuguese to libras,Tiago Maritan Ugulino de Araújo
Using convolutional neural networks for fingerspelling sign recognition in brazilian sign language,Douglas FL Lima
Using convolutional neural networks for fingerspelling sign recognition in brazilian sign language,Armando S Salvador Neto
Using convolutional neural networks for fingerspelling sign recognition in brazilian sign language,Ewerton N Santos
Using convolutional neural networks for fingerspelling sign recognition in brazilian sign language,Tiago Maritan U Araujo
Using convolutional neural networks for fingerspelling sign recognition in brazilian sign language,Thais Gaudencio do Rêgo
A deep learning approach to detect hyoid bone in ultrasound exam,Marília Lopes
A deep learning approach to detect hyoid bone in ultrasound exam,Cecília Silva
A deep learning approach to detect hyoid bone in ultrasound exam,Lucas Lima
A deep learning approach to detect hyoid bone in ultrasound exam,Douglas Lima
A deep learning approach to detect hyoid bone in ultrasound exam,Bianca Costa
A deep learning approach to detect hyoid bone in ultrasound exam,Desiré Magalhães
A deep learning approach to detect hyoid bone in ultrasound exam,Darlyane Rodrigues
A deep learning approach to detect hyoid bone in ultrasound exam,Thaís Rêgo
A deep learning approach to detect hyoid bone in ultrasound exam,Leandro Pernambucano
A deep learning approach to detect hyoid bone in ultrasound exam,Ary Santos
Neural decoding with SVM and feature selection in a rat active tactile discrimination task,Andy Anand Gajadhar
Neural decoding with SVM and feature selection in a rat active tactile discrimination task,Renan Cipriano Moioli
Neural decoding with SVM and feature selection in a rat active tactile discrimination task,Bianca Karla Amorim Sousa de Melo
Neural decoding with SVM and feature selection in a rat active tactile discrimination task,Ana Carolina Bione Kunicki
Neural decoding with SVM and feature selection in a rat active tactile discrimination task,André Salles Cunha Peres
Neural decoding with SVM and feature selection in a rat active tactile discrimination task,Thaís Gaudencio do Rêgo
Information theory-based detection of noisy bit planes in medical images,Hugo N De Oliveira
Information theory-based detection of noisy bit planes in medical images,Jefersson Alex Dos Santos
Information theory-based detection of noisy bit planes in medical images,Matheus C de Melo
Information theory-based detection of noisy bit planes in medical images,Thaís G do Rêgo
Information theory-based detection of noisy bit planes in medical images,Leonardo V Batista
""" O cortinão do Watson"": construindo a competência para comunicar o conhecimento científico",Itácio Queiroz de Mello Padilha
""" O cortinão do Watson"": construindo a competência para comunicar o conhecimento científico",Thaís Gaudencio do Rêgo
""" O cortinão do Watson"": construindo a competência para comunicar o conhecimento científico",Demetrius Antônio Machado de Araújo
""" O cortinão do Watson"": construindo a competência para comunicar o conhecimento científico",Silvana Santos
Comparing gradient boosting algorithms to forecast sales in retail,Ana Clara Chaves Sousa
Comparing gradient boosting algorithms to forecast sales in retail,Thaís Gaudêncio do Rêgo
Comparing gradient boosting algorithms to forecast sales in retail,Yuri de Almeida Malheiros Barbosa
Comparing gradient boosting algorithms to forecast sales in retail,Telmo de Menezes
Evaluating data representations for object recognition during pick-and-place manipulation tasks,Humberto Navarro de Carvalho
Evaluating data representations for object recognition during pick-and-place manipulation tasks,Lucas Pontes Castro
Evaluating data representations for object recognition during pick-and-place manipulation tasks,Thaís G Do Rego
Evaluating data representations for object recognition during pick-and-place manipulation tasks,Telmo M Silva Filho
Evaluating data representations for object recognition during pick-and-place manipulation tasks,Yuri de AM Barbosa
Evaluating data representations for object recognition during pick-and-place manipulation tasks,Leonardo Vidal Batista
Evaluating data representations for object recognition during pick-and-place manipulation tasks,Amilcar Soares
Evaluating data representations for object recognition during pick-and-place manipulation tasks,Vinicius Prado Da Fonseca
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Joao PV Teixeira
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Telmo M Silva Filho
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Thais G Do Rego
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Yuri B Malheiros
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Magnus Dustler
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Predrag R Bakic
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Trevor L Vent
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Raymond J Acciavatti
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Srilalan Krishnamoorthy
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Suleman Surti
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Andrew DA Maidment
Novel Perlin-based Phantoms Using 3D Models of Compressed Breast Shape and Fractal Noise,Bruno Barufaldi
Automatic Segmentation of Mammary Tissue using Computer Simulations of Breast Phantoms and Deep-learning Techniques.,Lucca R Peregrino
Automatic Segmentation of Mammary Tissue using Computer Simulations of Breast Phantoms and Deep-learning Techniques.,Jordy V Gomes
Automatic Segmentation of Mammary Tissue using Computer Simulations of Breast Phantoms and Deep-learning Techniques.,Thaís Gaudencio do Rêgo
Automatic Segmentation of Mammary Tissue using Computer Simulations of Breast Phantoms and Deep-learning Techniques.,Yuri de AM Barbosa
Automatic Segmentation of Mammary Tissue using Computer Simulations of Breast Phantoms and Deep-learning Techniques.,Telmo de Menezes e Silva Filho
Automatic Segmentation of Mammary Tissue using Computer Simulations of Breast Phantoms and Deep-learning Techniques.,Andrew DA Maidment
Automatic Segmentation of Mammary Tissue using Computer Simulations of Breast Phantoms and Deep-learning Techniques.,Bruno Barufaldi
Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,Bruno Barufaldi
Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,Chloe J Choi
Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,Joao PV Teixeira
Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,Magnus Dustler
Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,Raphael B Englander
Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,Thaís G do Rêgo
Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,Yuri Malheiros
Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,Telmo M Silva Filho
Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,Belayat Hossain
Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,Juhun Lee
Representation of complex mammary parenchyma texture in tomosynthesis using simplex noise simulations,Andrew DA Maidment
League of legends: an application of classification algorithms to verify the prediction importance of main in-game variables,Alexandre CS Cruz
League of legends: an application of classification algorithms to verify the prediction importance of main in-game variables,Thaís G do Rêgo
League of legends: an application of classification algorithms to verify the prediction importance of main in-game variables,Telmo de M Filho
League of legends: an application of classification algorithms to verify the prediction importance of main in-game variables,Yuri Malheiros
A Two-Stream Model Based on 3D Convolutional Neural Networks for the Recognition of Brazilian Sign Language in the Health Context,Diego RB da Silva
A Two-Stream Model Based on 3D Convolutional Neural Networks for the Recognition of Brazilian Sign Language in the Health Context,Tiago Maritan U Araujo
A Two-Stream Model Based on 3D Convolutional Neural Networks for the Recognition of Brazilian Sign Language in the Health Context,Thais Gaudencio do Rêgo
A Two-Stream Model Based on 3D Convolutional Neural Networks for the Recognition of Brazilian Sign Language in the Health Context,Manuella Aschoff Cavalcanti Brandão
The structural proteome for the primordial glycolysis/gluconeogenesis,Isabela Jerônimo Bezerra do Ó
The structural proteome for the primordial glycolysis/gluconeogenesis,Thais Gaudêncio Rego
The structural proteome for the primordial glycolysis/gluconeogenesis,Marco V José
The structural proteome for the primordial glycolysis/gluconeogenesis,Sávio Torres de Farias
Prediction of potential thermostable proteins in Xylella fastidiosa,MG Van der Linden
Prediction of potential thermostable proteins in Xylella fastidiosa,TG Rego
Prediction of potential thermostable proteins in Xylella fastidiosa,DAM Araujo
Prediction of potential thermostable proteins in Xylella fastidiosa,ST Farias
Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study,Bruno Barufaldi
Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study,Jordy Gomes
Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study,Thais G do Rego
Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study,Yuri Malheiros
Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study,Telmo M Silva Filho
Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study,Lucas R Borges
Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study,Raymond J Acciavatti
Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study,Suleman Surti
Impact of tomosynthesis acquisition on 3D segmentations of breast outline and adipose/dense tissue with AI: A simulation-based study,Andrew DA Maidment
Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,Yann NG da Nobrega
Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,Giulia Carvalhal
Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,João PV Teixeira
Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,Barbara P de Camargo
Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,Thais G do Rego
Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,Yuri Malheiros
Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,Telmo ME Silva Filho
Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,Trevor L Vent
Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,Raymond J Acciavatti
Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,Andrew DA Maidment
Multiclass segmentation of suspicious findings in simulated breast tomosynthesis images using a U-Net,Bruno Barufaldi
Automatic recognition of units of measurement in product descriptions from tax invoices using neural networks,Lucas Fernandes Lucena
Automatic recognition of units of measurement in product descriptions from tax invoices using neural networks,Telmo de Menezes e Silva Filho
Automatic recognition of units of measurement in product descriptions from tax invoices using neural networks,Thaís Gaudencio do Rêgo
Automatic recognition of units of measurement in product descriptions from tax invoices using neural networks,Yuri Malheiros
Identification of speechless intervals in audio tracks using convolutional neural networks,Vinícius Wanderley
Identification of speechless intervals in audio tracks using convolutional neural networks,Leonardo Villeth
Identification of speechless intervals in audio tracks using convolutional neural networks,Virgínia Pinto Campos
Identification of speechless intervals in audio tracks using convolutional neural networks,Tiago Maritan
Previsão de Valores de Aquisições Governamentais: o Uso dos Conceitos de Data Science e Machine Learning,LUIZ HENRIQUE RODRIGUES DE OLIVEIRA
Previsão de Valores de Aquisições Governamentais: o Uso dos Conceitos de Data Science e Machine Learning,DO RÊGO
Previsão de Valores de Aquisições Governamentais: o Uso dos Conceitos de Data Science e Machine Learning,JOSEDILTON ALVES DINIZ
Avaliação de Algoritmos de Clusterização para Agrupamento de Descrições de Produtos em Notas Fiscais Eletrônicas,Jonas Gabriel L de Araújo
Avaliação de Algoritmos de Clusterização para Agrupamento de Descrições de Produtos em Notas Fiscais Eletrônicas,Thaís G do Rêgo
Avaliação de Algoritmos de Clusterização para Agrupamento de Descrições de Produtos em Notas Fiscais Eletrônicas,Yuri de AM Barbosa
Long-term demand forecasting applied to a retail company using Prophet,Ana Clara Chaves Sousa
Long-term demand forecasting applied to a retail company using Prophet,Yuri de Almeida Malheiros Barbosa
Long-term demand forecasting applied to a retail company using Prophet,E Silva Telmo de Menezes Filho
Long-term demand forecasting applied to a retail company using Prophet,Thaís Gaudencio Do Rêgo
Previsão de demanda de longo prazo aplicada a uma empresa do varejo de cosméticos utilizando o Prophet,Ana Clara Chaves Sousa
Previsão de demanda de longo prazo aplicada a uma empresa do varejo de cosméticos utilizando o Prophet,Yuri de Almeida Malheiros Barbosa
Previsão de demanda de longo prazo aplicada a uma empresa do varejo de cosméticos utilizando o Prophet,Telmo de Menezes
Previsão de demanda de longo prazo aplicada a uma empresa do varejo de cosméticos utilizando o Prophet,Thaís Gaudencio do Rêgo
Evaluating Deep Learning-based Chess-Engine Endgame Strategies,Epitácio Pessoa de Brito Neto
Evaluating Deep Learning-based Chess-Engine Endgame Strategies,Telmo de Menezes
Evaluating Deep Learning-based Chess-Engine Endgame Strategies,Thaís Gaudencio do Rêgo
Evaluating Deep Learning-based Chess-Engine Endgame Strategies,Yuri Malheiros
Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis,Bruno Barufaldi
Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis,Yann NG da Nobrega
Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis,Giulia Carvalhal
Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis,Joao PV Teixeira
Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis,Telmo M Silva Filho
Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis,Thais G do Rego
Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis,Yuri Malheiros
Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis,Raymond J Acciavatti
Multiclass Segmentation of Breast Tissue and Suspicious Findings: A Simulation-Based Study for the Development of Self-Steering Tomosynthesis,Andrew DA Maidment
Automatic Recognition of Units,Thaís Gaudencio do Rêgo
Automatic Recognition of Units,Yuri Malheiros
Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,Itamar de Paiva Rocha Filho
